index,url,tweet_id,player_name,id,sentiment,comment,annotator,annotation_id,created_at,updated_at,lead_time
76100,<html><body><a href=https://twitter.com/anyuser/status/1220459501159178250>URL</a></body></html>,1220459501159178250,Virgil van Dijk,350,Other,im unsure,1,352,2022-11-07T17:14:14.852200Z,2022-11-07T17:14:14.852259Z,72.211
7685,<html><body><a href=https://twitter.com/anyuser/status/914504329209540615>URL</a></body></html>,914504329209540615,Virgil van Dijk,349,Neutral,,1,351,2022-11-07T17:13:00.994638Z,2022-11-07T17:13:00.994797Z,33.508
59581,<html><body><a href=https://twitter.com/anyuser/status/1155438353040510977>URL</a></body></html>,1155438353040510977,Virgil van Dijk,348,Positive,,1,350,2022-11-07T17:12:25.958298Z,2022-11-07T17:12:25.958357Z,15.275
10399,<html><body><a href=https://twitter.com/anyuser/status/941346792876204032>URL</a></body></html>,941346792876204032,Virgil van Dijk,347,Neutral,,1,349,2022-11-07T17:12:08.754727Z,2022-11-07T17:12:08.754823Z,16.634
97462,<html><body><a href=https://twitter.com/anyuser/status/1336336521947856903>URL</a></body></html>,1336336521947856903,Virgil van Dijk,346,Positive,,1,348,2022-11-07T17:11:50.377451Z,2022-11-07T17:11:50.377503Z,13.026
224568,<html><body><a href=https://twitter.com/anyuser/status/1580872781746434050>URL</a></body></html>,1580872781746434050,Sadio Mané,345,Positive,,1,347,2022-11-07T17:11:35.499580Z,2022-11-07T17:11:35.499665Z,12.873
45768,<html><body><a href=https://twitter.com/anyuser/status/1063851713147355138>URL</a></body></html>,1063851713147355138,Sadio Mané,344,Positive,,1,346,2022-11-07T17:11:21.129793Z,2022-11-07T17:11:21.129864Z,7.527
25780,<html><body><a href=https://twitter.com/anyuser/status/984346535549861888>URL</a></body></html>,984346535549861888,Sadio Mané,343,Positive,,1,345,2022-11-07T17:11:12.132573Z,2022-11-07T17:11:12.132658Z,8.285
219474,<html><body><a href=https://twitter.com/anyuser/status/1568887814657347585>URL</a></body></html>,1568887814657347585,Sadio Mané,342,Neutral,,1,344,2022-11-07T17:11:02.204871Z,2022-11-07T17:11:02.204948Z,11.933
120506,<html><body><a href=https://twitter.com/anyuser/status/1277648151692947456>URL</a></body></html>,1277648151692947456,Sadio Mané,341,Positive,,1,343,2022-11-07T17:10:48.728668Z,2022-11-07T17:10:48.728744Z,7.082
55461,<html><body><a href=https://twitter.com/anyuser/status/1390785025281384450>URL</a></body></html>,1390785025281384450,Robert Lewandowski,340,Neutral,,1,342,2022-11-07T17:10:39.977262Z,2022-11-07T17:10:39.977366Z,20.759
64041,<html><body><a href=https://twitter.com/anyuser/status/1431844065658564614>URL</a></body></html>,1431844065658564614,Robert Lewandowski,339,Positive,,1,341,2022-11-07T17:10:17.484091Z,2022-11-07T17:10:17.484204Z,7.75
105050,<html><body><a href=https://twitter.com/anyuser/status/1562849664411389952>URL</a></body></html>,1562849664411389952,Robert Lewandowski,338,Positive,,1,340,2022-11-07T17:10:08.110002Z,2022-11-07T17:10:08.110048Z,15.662
42244,<html><body><a href=https://twitter.com/anyuser/status/1315645860202635264>URL</a></body></html>,1315645860202635264,Robert Lewandowski,337,Neutral,,1,339,2022-11-07T17:09:50.644384Z,2022-11-07T17:09:50.644491Z,9.618
54385,<html><body><a href=https://twitter.com/anyuser/status/1382219929211052034>URL</a></body></html>,1382219929211052034,Robert Lewandowski,336,Positive,,1,338,2022-11-07T17:09:39.454804Z,2022-11-07T17:09:39.454860Z,12.571
